  [1] "ENST00000670010" "ENST00000441531" "ENST00000418273" "ENST00000573939" "ENST00000437677" "ENST00000380334"
  [7] "ENST00000602172" "ENST00000602964" "ENST00000614517" "ENST00000658766" "ENST00000557682" "ENST00000639481"
 [13] "ENST00000354921" "ENST00000411630" "ENST00000685997" "ENST00000394864" "ENST00000628924" "ENST00000601363"
 [19] "ENST00000606164" "ENST00000663202" "ENST00000392176" "ENST00000665449" "ENST00000606448" "ENST00000665577"
 [25] "ENST00000660100" "ENST00000656943" "ENST00000408886" "ENST00000655031" "ENST00000661056" "ENST00000651432"
 [31] "ENST00000411553" "ENST00000414046" "ENST00000411998" "ENST00000591501" "ENST00000648646" "ENST00000692198"
 [37] "ENST00000366110" "ENST00000598304" "ENST00000627309" "ENST00000505089" "ENST00000419300" "ENST00000442673"
 [43] "ENST00000609143" "ENST00000658709" "ENST00000657951" "ENST00000664959" "ENST00000505122" "ENST00000419895"
 [49] "ENST00000650261" "ENST00000508832" "ENST00000428207" "ENST00000452120" "ENST00000522771" "ENST00000529823"
 [55] "ENST00000590797" "ENST00000577659" "ENST00000581072" "ENST00000641433" "ENST00000691432" "ENST00000587762"
 [61] "ENST00000666504" "ENST00000660908" "ENST00000652769" "ENST00000573953" "ENST00000688561" "ENST00000628823"
 [67] "ENST00000630675" "ENST00000566912" "ENST00000608008" "ENST00000601801" "ENST00000513560" "ENST00000565493"
 [73] "ENST00000669580" "ENST00000500949" "ENST00000558457" "ENST00000558945" "ENST00000524003" "ENST00000569214"
 [79] "ENST00000665598" "ENST00000655945" "ENST00000508281" "ENST00000653462" "ENST00000500036" "ENST00000663449"
 [85] "ENST00000416202" "ENST00000472046" "ENST00000667579" "ENST00000658700" "ENST00000630404" "ENST00000501280"
 [91] "ENST00000437201" "ENST00000420195" "ENST00000551361" "ENST00000692197" "ENST00000580180" "ENST00000660020"
 [97] "ENST00000688805" "ENST00000414002" "ENST00000655116" "ENST00000673634" "ENST00000689720" "ENST00000659146"
[103] "ENST00000691236" "ENST00000660446" "ENST00000430244" "ENST00000689978" "ENST00000500779" "ENST00000609413"
[109] "ENST00000686070" "ENST00000686207" "ENST00000653304" "ENST00000657967" "ENST00000671267" "ENST00000415121"
[115] "ENST00000442329" "ENST00000589355" "ENST00000592182" "ENST00000667853" "ENST00000437322" "ENST00000578974"
[121] "ENST00000654845" "ENST00000628791" "ENST00000425008" "ENST00000664276" "ENST00000455791" "ENST00000687622"
[127] "ENST00000558334"
